sample_code,1-hydroxy-2-unsubstituted benzenoids,Alkyl aryl ethers,Alpha amino acid amides,Alpha amino acids and derivatives,Amidines,Amines,Amino acids,Amino acids and derivatives,"Amino acids, peptides, and analogues",Aminoimidazoles,Aminopyrimidines and derivatives,Aralkylamines,Azacyclic compounds,Azoles,Carboximidamides,Carboximidic acids,Carboximidic acids and derivatives,Carboxylic acid amides,Dialkylamines,Diazinanes,Dihydropyridinecarboxylic acids and derivatives,Dipeptides,Fatty amides,Guanidines,Heteroaromatic compounds,Hydroxamic acids,Imidazoles,Imidazolyl carboxylic acids and derivatives,Imidolactams,Imines,Isoleucine and derivatives,Lactams,Methyl esters,N-acyl-alpha amino acids and derivatives,N-acyl amines,N-substituted imidazoles,"Organic 1,3-dipolar compounds",Organic acids and derivatives,Organic nitrogen compounds,Organoheterocyclic compounds,Organonitrogen compounds,Organopnictogen compounds,Peptides,Peptidomimetics,Phenol ethers,Piperidines,Primary carboxylic acid amides,"Propargyl-type 1,3-dipolar organic compounds",Pyrans,Pyridines and derivatives,Pyrrole carboxylic acids and derivatives,Pyrrolidine carboxylic acids and derivatives,Pyrrolidines,Secondary amines,Secondary carboxylic acid amides,Substituted imidazoles,Tertiary alkylarylamines,Tertiary carboxylic acid amides,Valine and derivatives,Vinylogous amides,Vinylogous esters
Exp2_Pn-delicatissima_A_DOM_I,0.29822638639664667,0.3511694519818011,0.3041097866962127,0.5430159165462749,0.22474747520560814,0.6870995038233054,0.444192183920097,0.7630573971419883,0.7583850241488137,0.2097001214109263,0.3417768012769764,0.28552552189372354,0.7993999933764718,0.5174181608296647,0.20888003969143581,0.3110412674461001,0.3261690259961186,0.5836334830460801,0.3459775875631584,0.16710968844953825,0.2792980576692852,0.34283103782197877,0.34545482756865337,0.1701318882608288,0.6525057247107277,0.06328779298136195,0.42676081095024715,0.16090157165093727,0.3261690259961186,0.27992636150072636,0.12549570531395968,0.35013620569939,0.5653647089756837,0.4346683836445795,0.32008016435576775,0.36687629984314063,0.460724517352998,1.2457270994310785,1.104238387193954,0.9973563606760514,1.102580969063204,1.0603861038546252,0.2624906308672935,0.11859943334659404,0.3343190442440097,0.1681228942962163,0.23745559610468303,0.475214959257011,0.32671773913777363,0.3897014543143782,0.2523357754520351,0.22703804693595878,0.2208807120750294,0.40327023159751707,0.5605641051247723,0.3868476585637485,0.13705467958745904,0.24956430006370461,0.18360401027891857,0.3728105541748034,0.23230096326947633
Exp2_Pn-delicatissima_A_DOM_II,0.3130061839201878,0.3661013337949943,0.3503085891659717,0.5832709823404789,0.23874831306633554,0.733080526461322,0.47512391583368857,0.8295295146016382,0.8254409534142778,0.22122697764814403,0.3610870612713344,0.3014420460531449,0.8586225897833071,0.5522228398124142,0.2194905476982728,0.33330206831584475,0.3491580302834635,0.6349919257691378,0.36164700878088074,0.17299416850716104,0.2955121431140955,0.38028410300675547,0.3818932481989158,0.18048375683626236,0.6884964034176312,0.09828885638083633,0.4561983077141873,0.17624133228117755,0.3456872468687211,0.2928427717285755,0.13650631116230516,0.3677603474954004,0.524880828634321,0.4787564903327435,0.37051194302650514,0.3888048227052563,0.48909880669902406,1.2357013584367054,1.2902429186796978,0.9968282479220358,1.2847230993222523,1.1942882594924347,0.2921720681530931,0.140568247797814,0.34626772493674235,0.17943215224336218,0.25666798363096105,0.5080608916541847,0.309831625024051,0.4099993059282945,0.26630816053093953,0.2435395929771283,0.2363191130841573,0.42251843542590567,0.6119397146338674,0.41252616996254404,0.1418970546041639,0.2618988485241167,0.21241221373944436,0.39248646164565737,0.2346867440435124
Exp2_Pn-delicatissima_A_Unfil_I,0.1666008620102752,0.3899385255996341,0.2608231402166277,0.610343768282227,0.24429027438629516,0.7080905133169675,0.41829376967076887,0.7953988301841435,0.7858981634807816,0.25779700312304527,0.422988632277646,0.338863464426143,0.9174271452982441,0.6214775415764565,0.23005911869133103,0.34987749818444613,0.36136712390670783,0.5270560040511929,0.3948911097857275,0.184067689751395,0.3444073189807338,0.3568079176963816,0.32091629268629573,0.18267328101285787,0.7943986494683207,0.03162804943757168,0.5049177606384087,0.18819174115886414,0.39489110978572756,0.3107551425828315,0.1418970546041639,0.29852296919768434,0.5670213854227976,0.45483896064314444,0.26874154235911984,0.440098043549124,0.5418850235652489,1.2216959072106155,1.2432569892589052,1.044891212975064,1.2432569892589052,1.181569356717088,0.2608231402166277,0.1268308680377276,0.36287640117662096,0.14715935225157775,0.24215115787296,0.5653647089756837,0.3192421544652778,0.4523000639627038,0.2410750520294094,0.15224496336413898,0.17699078348623626,0.4592581018802466,0.5241759336737,0.4617699604175846,0.14887328003763659,0.19089392711174488,0.1711278811067632,0.389226970077809,0.25268025514207865
Exp2_Pn-delicatissima_A_Unfil_II,0.1587802146457607,0.3733016248551356,0.2334143952757577,0.5575988266995366,0.23781982846946154,0.7070782797544822,0.4108344831213947,0.7758975917212412,0.7683948863591131,0.25371113070835816,0.4223203404103581,0.29673956650916444,0.8789429257260171,0.5845392446831996,0.2289305587505595,0.3340500998785385,0.3483218992286966,0.536779066667737,0.3688629842266244,0.16037377284455004,0.2667818759132061,0.3575711036455103,0.29133177076965755,0.17842763716226842,0.7388308714132713,0.03162804943757168,0.5031442898303006,0.18545208876013616,0.39629720591905804,0.32091629268629573,0.1288082185713109,0.3073036114385614,0.5435808577883632,0.4452650579915497,0.27165712367757405,0.4381490305841703,0.5031442898303006,1.2432569892589052,1.1675260951973796,1.0081985129366022,1.1640743930289434,1.128109318399272,0.2638177411323912,0.12683086803772764,0.3308083284388837,0.1488732800376366,0.22320826908703012,0.5241759336736999,0.28950937099985324,0.42631831877515025,0.2255134058981312,0.1454258194533693,0.19749553586205984,0.438799402461158,0.5183868456667529,0.4617699604175846,0.1364376140257385,0.20515150262242235,0.1681228942962163,0.35374160588967146,0.2506068883856284
Exp2_Pn-delicatissima_B_DOM_I,0.28225721299500633,0.3327026174182236,0.334661072487387,0.535761396095547,0.2436115205390263,0.6723153665191975,0.4381490305841703,0.7681219987663078,0.76751556334255,0.19980586862425057,0.32875605567751637,0.2776930067784381,0.7811556882494781,0.5101969278709401,0.23236858473052793,0.3227592993363752,0.33563667106547007,0.6374929610496389,0.35653006183926267,0.16497181850353837,0.266573269850989,0.3666047103433672,0.38218523894572115,0.2097001214109263,0.62827967096144,0.12463876839368525,0.4249887829624035,0.1731926283581206,0.31870788887420415,0.28395189844332225,0.1294607710031106,0.34621498778638743,0.5044881922848293,0.45564468780802947,0.36705726864991217,0.3523405416653133,0.46742482325604306,1.217054720905225,1.2110356173809114,0.9279266475892148,1.2064612715535972,1.1413876908537322,0.2794123886275561,0.15534768322086556,0.314611654068104,0.1844462362886975,0.31409638430368014,0.48306667085801697,0.30043108992518286,0.3799909465538552,0.24166256590779256,0.22341874291657762,0.234388819935292,0.4111033960265251,0.5934449154368756,0.38174718604205027,0.13180706636749268,0.24425799209517762,0.2013579207903308,0.35791756320162255,0.2191734520607586
Exp2_Pn-delicatissima_B_DOM_II,0.29180144193886665,0.35585863839891574,0.3257522344787009,0.5690554018160376,0.21333990470328754,0.7158639024829486,0.4973064178502049,0.7791911074185379,0.7857429910109898,0.21333990470328756,0.3505462438963634,0.32289822449699024,0.79988294795841,0.5196078113576109,0.20047625012345635,0.3408110554902579,0.35374160588967146,0.6049550838800807,0.3494757403724977,0.16151824998488795,0.2880251135780254,0.40726737293571247,0.3574396156307952,0.16151824998488795,0.6531727061737531,0.07198163954285895,0.4318327809263994,0.1668642345724382,0.3336324090873854,0.2816315952488126,0.13431025790122147,0.3274544261462247,0.49359646287073883,0.4760338180613227,0.3094795987115482,0.36937536877761046,0.4794121221306268,1.2519304467166559,1.2377215287632812,0.9614257130519502,1.2283466809706276,1.1687695162475946,0.3574396156307952,0.14433966254685313,0.3353005288873242,0.16260099970264416,0.24891516608096567,0.49771752789451756,0.3022744164145358,0.3884406117955741,0.24746706317044778,0.2013579207903308,0.20484872598107423,0.41151684606748795,0.5886346211879829,0.39187173179375007,0.13300479860520464,0.2408518566202239,0.16999406989399535,0.3595386728890091,0.22787516398957888
Exp2_Pn-delicatissima_B_Unfil_I,0.1587802146457607,0.3661516968085955,0.24842236376772966,0.5865623433047169,0.2327064188148122,0.6665550453301308,0.4146076917177437,0.7863072548074165,0.7790343552206367,0.24166256590779256,0.4021356198790585,0.3344167968037026,0.8528755292952453,0.5711769341579729,0.22964932924157247,0.3387909653739396,0.35374160588967146,0.538174380187336,0.35444041854003383,0.17139855035163792,0.25501765175940155,0.3502302417838495,0.317943312119688,0.17803686917534756,0.7234213966741947,0.03693584504964715,0.4893017347112695,0.1831815113025242,0.3821852389457212,0.31640938542571556,0.13005122266071176,0.2998946688701559,0.544350692476304,0.4422758631148771,0.26236968292655904,0.4207375772502385,0.5167482362558582,1.2128787635932738,1.1879547578686833,1.023372459920963,1.1840354067596859,1.1506686973167182,0.2531493100887591,0.12278275875764601,0.3240164437640123,0.15285024925716928,0.2493743099545502,0.5392065932594519,0.30627736916966947,0.42317075639697715,0.21810007175065443,0.13694268748109267,0.193078040871879,0.42012762947817855,0.508773529429413,0.44637498377374024,0.1386133076185414,0.20366502681573126,0.16450352385776087,0.34168082631304425,0.23672557863603313
Exp2_Pn-delicatissima_B_Unfil_II,0.15383218089161715,0.35307210604885325,0.22047357828701544,0.5624291588457923,0.22250228795266455,0.665558411367038,0.3995226131974491,0.7584285658374902,0.7518948371056595,0.236248357441902,0.3921901966592124,0.2761649999597932,0.8058386390619877,0.5454207366022585,0.21636287721824268,0.3253564376092483,0.3401442303333122,0.5271060085719093,0.34631816289433526,0.1509343064507476,0.24929166420744187,0.3380652547803307,0.30164078471071926,0.16891175868414626,0.6842754146003363,0.03612361178894319,0.4706760096493511,0.17408301063648046,0.3695089395069588,0.3008735878473904,0.1434416720650467,0.29310485197035124,0.5556603049037623,0.4754998882278977,0.2923179888998522,0.40913966264674717,0.48029078110082235,1.2117358976400472,1.0815422310730276,0.9227721377553912,1.0789265942402049,1.0608622305075825,0.2564711706323156,0.12188531634467903,0.3159078035101264,0.13875765255614406,0.21842727504946396,0.4996628628761061,0.26861413132915435,0.3976994150920717,0.21217767305658325,0.13554747542609505,0.19112718168686726,0.411516846067488,0.5140062322788413,0.43074711586355857,0.12717691523735153,0.19459410093302137,0.16222518186004617,0.32963892923978405,0.24098126846624923
Exp2_Pn-galaxiae_A_DOM_I,0.26776332715719386,0.3214474015395024,0.31036460345891964,0.4993150405930211,0.21658897942725852,0.6227253165583579,0.3696732182796768,0.6984146193701328,0.698783804713125,0.191867561485691,0.27130522288972864,0.28100865721518986,0.8259881859807545,0.5252767176451408,0.27095291088346823,0.33162129115763994,0.34867595148073927,0.5553692065120233,0.34124865863798587,0.21745366452306267,0.2612788676602053,0.34754192716488624,0.3426874384522192,0.23128444209461207,0.6206130770533154,0.07267751123673002,0.40175686490598683,0.20320558525338628,0.2501334776274248,0.3211440031025766,0.141246251618595,0.3971899678494711,0.550691226340126,0.3850664249219621,0.3241670204984603,0.3005382733906193,0.5038434037059951,1.241841987397692,0.9955293450198451,1.0564854938455397,0.9779398273613075,0.9830513266661011,0.307224775757363,0.2004280535204208,0.2830491909746637,0.2013579207903308,0.2221531103538374,0.505347097242005,0.282710013934035,0.38192245528378266,0.2255134058981312,0.2280033324632501,0.29892698375925286,0.3811332374023953,0.5102680324289902,0.3520597747637285,0.2275901048951354,0.3253694874710235,0.14949179781255828,0.3615045441221855,0.26054935654536854
Exp2_Pn-galaxiae_A_DOM_II,0.25746968747845184,0.3046926540153974,0.27339923553947354,0.481752525185249,0.20864138336801927,0.6254247274820657,0.36838313321733285,0.6637167374619063,0.6640490847507045,0.15565115113133535,0.3102839228921272,0.277099185056669,0.7970121109504956,0.5028578735481364,0.26744708528366534,0.3260272946205282,0.3439503121191598,0.5286128790646668,0.3141462810570606,0.21453284588204574,0.24644640020846542,0.3268238508420521,0.31000644440604097,0.22290921381675527,0.5948515525591229,0.06725283584044395,0.3888133373156641,0.18420209769422397,0.2810581808951823,0.3083370196780818,0.12605729729987525,0.3908780458240482,0.5112170289971386,0.36282779503884327,0.296133370276517,0.3080580176838315,0.48937241919800184,1.2355763516732232,0.9792505373767907,1.0251226359616352,0.9645281211871004,0.9735145497297856,0.28675655221154833,0.18906742969629584,0.27059449353585446,0.19381639734733033,0.22955008458176704,0.4926694749754536,0.26996765844553233,0.3671812779255714,0.21180265883760083,0.21414481952493278,0.2923561059763818,0.356955736015803,0.4786030698100189,0.34648285707267085,0.21492021513404685,0.30972875006012107,0.1401585783422844,0.360390649928932,0.24678705145206045
Exp2_Pn-galaxiae_A_Unfil_I,0.2086204363437745,0.1756191703002793,0.2733829087626932,0.4744167276884295,0.12911772427660737,0.5428374442242454,0.3439101995526625,0.6297379854168771,0.6341549123490386,0.17638243940656492,0.31555893099788396,0.13217381377242202,0.6230888424184551,0.49263891870851695,0.2963157996856676,0.29204836910561943,0.30515212567725497,0.46889024919036526,0.2224757065469208,0.12169555468280652,0.08896965993049862,0.32870385882405057,0.2977262919074932,0.2882083106926581,0.4935855884957679,0.06887917161416854,0.407192517524796,0.22970328768928977,0.2784030252928327,0.28529823844410285,0.11024711691167166,0.3146658505524981,0.48915755471936706,0.368079807723954,0.2867565522115484,0.3092605647525208,0.45136212609332477,1.2425233616985918,0.8577557198135726,0.9022483828098846,0.8375981995211543,0.8866143516122483,0.3060692629521102,0.2193988009240936,0.16045722091975242,0.14283389561924872,0.21184395888191568,0.43951741793113847,0.24746706317044775,0.22970328768928977,0.09473215732611741,0.11024711691167166,0.23730208064281663,0.24802054303350557,0.41473744788492906,0.37237073202780013,0.16294147861051939,0.2662121740443669,0.08896965993049862,0.22910909568487783,0.1910351398637644
Exp2_Pn-galaxiae_A_Unfil_II,0.28263459200949925,0.2255134058981312,0.28401449159204184,0.47284395890839037,0.18819174115886414,0.6152832764729325,0.37596615202304917,0.6431152628633727,0.6452363451669872,0.16631753316789163,0.3063066482984786,0.23304379898941596,0.7332667264088358,0.48529374906600464,0.2941801274492818,0.3046926540153974,0.3205139463029973,0.5091493909382045,0.2663081605309395,0.19119192660293763,0.17299416850716104,0.32604698268024274,0.306628557876357,0.27810780090042797,0.5478593901105766,0.06530941838723667,0.38001538316392325,0.20182990751599975,0.25363490074314077,0.3126899856975813,0.1038239715091311,0.37242824895411947,0.4861908294562959,0.3585584272897251,0.29150000152307665,0.29351212170904617,0.4762611093497519,1.2116747173674671,0.9305777051837998,1.0080548652820525,0.9153756494043919,0.9284530174225517,0.29783053910869334,0.19119192660293766,0.20649370088352437,0.18768727349980635,0.2229507716459351,0.47238706814159787,0.25210588344142226,0.3063066482984786,0.19119192660293763,0.20695462486981273,0.26776332715719386,0.30533914482192726,0.4606315088257073,0.34481499958812245,0.2051050722147774,0.30144204605314484,0.09828885638083633,0.3275697333473397,0.20088488585914221
Exp2_Pn-galaxiae_B_DOM_I,0.2799834175611724,0.3174838049830861,0.20503751937242326,0.4278856171683272,0.19089392711174488,0.5956000579376698,0.37769808151868123,0.6136786497452975,0.6096177238595272,0.16252248892066457,0.26811941431310515,0.2674068121010265,0.7646649495096466,0.470656450784188,0.24631621933394393,0.30085962295092594,0.32235612619454174,0.4884246874736321,0.30373836254126224,0.21309738473729037,0.242443877892042,0.284739677118145,0.2594515993544063,0.1957160596954078,0.5847861495094016,0.06880945139260189,0.35234054166531326,0.19235262174788406,0.22299760999104165,0.3153318087586511,0.11305590100385297,0.3734354627633255,0.5132488604358588,0.3304382383793165,0.24861302011537073,0.2634564025690629,0.46568994089015275,1.2065522975950373,0.9366013169346814,1.0148185556135796,0.9199244329233898,0.9386977629796969,0.23087667152103036,0.16701728554071385,0.2820305695481969,0.17354930722018702,0.2082068031288273,0.4688546411430307,0.28100865721518986,0.3636974823180053,0.221729735101496,0.2108876112955704,0.2857496960249186,0.344693267101967,0.46205479442375746,0.31130118295065223,0.2196014300283774,0.2748059883228621,0.10550903338696799,0.37048201506472245,0.25761256265782084
Exp2_Pn-galaxiae_B_DOM_II,0.295692348289054,0.3079349978371576,0.27627734216416094,0.4797690526735908,0.21355164107956515,0.597807806877132,0.3837411753129149,0.6468523779617797,0.6461473837620162,0.15631914426579516,0.2427874500851365,0.2596814224469795,0.7626784814410149,0.46301171233565863,0.2975115122196018,0.31777463308008513,0.33452860271117835,0.5290615897275475,0.31404394303911387,0.20732890151105385,0.255206953532321,0.3331599084551065,0.3085213242187539,0.25241755525751997,0.5632456376492612,0.06643243299658019,0.34344624080407377,0.183761314882417,0.2159935481763443,0.30852132421875395,0.11743979075696562,0.383252708775082,0.5383494122754708,0.40242431516110233,0.2996215894280105,0.2534668625669487,0.4999782062028068,1.247635991127665,0.9443323189723322,1.0211561107380747,0.9290616684997673,0.9466536929120369,0.30998291936662464,0.1828155491194934,0.2762773421641609,0.1952146461036074,0.20436399139208247,0.5035955487646995,0.285190869473623,0.3688629842266244,0.23013544517749132,0.214368508368263,0.2914087683807224,0.35685970160675284,0.48922744885354924,0.30022207658758276,0.21232081156492316,0.3046926540153974,0.12923992768801465,0.350337799718163,0.2565912762694362
Exp2_Pn-galaxiae_B_Unfil_I,0.2311825620097137,0.1910855489408458,0.2767268029911287,0.47119446579161606,0.1367024032175685,0.5435808577883632,0.3803992221981174,0.6412675033866163,0.6479596556955143,0.1881917411588641,0.25779700312304527,0.155312279333266,0.6796106835184004,0.51029850391207,0.2807770502728005,0.3065596020526962,0.3187624410740583,0.4786594322208994,0.23277875271069412,0.1469129211286686,0.12130495330300817,0.3548392291125204,0.3102641101463335,0.2841128274554726,0.5198792161718006,0.07325801396792259,0.4026762197025961,0.19952751491168813,0.23277875271069412,0.314538088785469,0.1271151886937602,0.3317372905747288,0.4782225063996546,0.3926735714945982,0.31756042929152134,0.34204061589766455,0.4703109353588003,1.2231428857892552,0.9284116538995628,0.9302740141154723,0.9246930145932737,0.9437461612379622,0.3157500214556913,0.25268025514207865,0.16440300778515082,0.16768938455292712,0.23357305550441762,0.4542051801465537,0.24896674127526996,0.2504581903727122,0.1242433383137136,0.13932331149653365,0.243680860768692,0.26067976227406847,0.4301943423075588,0.39368275770630473,0.15056827277668605,0.28010564559039797,0.09835655767718864,0.27331059393413776,0.18916102454723766
Exp2_Pn-galaxiae_B_Unfil_II,0.2487400499592814,0.22689983723493723,0.2659764381390629,0.45755904990009744,0.13638138218171433,0.5518458149654396,0.3720058552132219,0.61772781460897,0.6225334197501331,0.1731926283581206,0.23969902799833576,0.2205970262914197,0.7170032499353252,0.49039659081009623,0.2611574109030243,0.31358038243930686,0.328259900189327,0.4749169548789827,0.25063842001251135,0.18942455502720873,0.18777909090358605,0.3307343385814871,0.2977405093238745,0.2611574109030243,0.5340339437782348,0.07792874591253707,0.3751274088386014,0.191867561485691,0.21988631598687275,0.31046878891779356,0.12215795088843737,0.36296770740118717,0.5087735294294129,0.3728998785790174,0.30732988608550366,0.31768810107828,0.4969324907792199,1.2435306598867295,0.9219373266415447,0.9607913312305464,0.9178509735348641,0.932353271229417,0.299357404912045,0.23505865771025583,0.1974561570977717,0.1731926283581206,0.22551340589813124,0.48600742513231987,0.2416625659077926,0.2971998272540645,0.16590458687970577,0.18360401027891857,0.2917445476987276,0.29009032443373,0.4164538191705744,0.36524429704598305,0.21339039713266003,0.283388006339403,0.09707472909900709,0.3025684359130957,0.2316915468511471
Exp2_Pn-hasleana_A_DOM_I,0.3246380047088992,0.29388985474675827,0.2538005913946024,0.44181586947582796,0.18461059069219712,0.6190875313492809,0.3906490587243623,0.6211560370058086,0.6186274630833675,0.10856037927729871,0.26733700895773366,0.27030849210083424,0.7449191774278723,0.46852117691139844,0.2962338508799127,0.29388985474675833,0.31369261922020975,0.5027582261106271,0.3144325126093884,0.18400727306929165,0.2604302386774479,0.30658658637581904,0.2927116539203923,0.25469362103474874,0.5546896499546743,0.06259519252025411,0.34083485039647177,0.1784898578216938,0.21323119814968877,0.31109100498340214,0.11349582088334613,0.3688629842266244,0.51018919874076,0.36038002416136383,0.2786410865893497,0.25110411717618814,0.4768339527099783,1.2303066392726043,0.8891853528594497,1.0246406261124084,0.8721369161521384,0.914434430204822,0.28514992334448874,0.177866713713125,0.27030849210083424,0.16222518186004617,0.19743903357488968,0.4773668713020935,0.2859542403435842,0.35340698718358243,0.22098238603097295,0.2116490640273184,0.28393965052115716,0.3507205250652653,0.4773668713020935,0.3024062767414828,0.23624835744190203,0.28393965052115716,0.10549016103661614,0.3646416368501635,0.26605435436422237
Exp2_Pn-hasleana_A_DOM_II,0.3292838687251446,0.3321153106353733,0.26562555949274047,0.46581799593110823,0.19344501921195198,0.6209263477459137,0.40164153672966585,0.6314558165419142,0.6280302858099206,0.1105605612907702,0.26903862314497806,0.27533520759312197,0.7893112468209214,0.4776331798159446,0.2993340264177712,0.3020237430078093,0.32066201713114123,0.5220913302127099,0.31920567633768737,0.21688070132412257,0.26260627295438005,0.319570296420818,0.3050722609507502,0.2555838041665988,0.5850823670467624,0.0707697366622136,0.3469984763700529,0.1951662334278424,0.2328824997596994,0.30583024103144846,0.12007071295877898,0.39095766875065924,0.48452255009518236,0.3806693926907312,0.28954909631945014,0.2586774552013005,0.49655512770740445,1.2296166069240255,0.9341024215960649,1.0466956528356277,0.9155589503263153,0.9498699790489826,0.28915162560806307,0.177866713713125,0.30087358784739027,0.1702187186334482,0.20683447714814443,0.4975924306702758,0.26173782849800453,0.3809843981254748,0.236248357441902,0.22848753902232713,0.30431263373458095,0.3570735260933091,0.49186973255469146,0.30734130923495695,0.23767736415355611,0.29113417282552856,0.10956496142392569,0.38003875613701876,0.27157301081301594
Exp2_Pn-hasleana_A_Unfil_I,0.403461263959449,0.28356311417947766,0.2737840686875158,0.42544759366840107,0.15258963539102924,0.6119397146338673,0.4231498255769385,0.6023725706224969,0.6001549138745647,0.018570601197928673,0.16791374817285354,0.30105893009660617,0.7822946951942246,0.4412823002057811,0.2664087472974845,0.29677039464421495,0.31944460579479983,0.5421191123404776,0.28356311417947766,0.23482787890643347,0.2031104058639467,0.32575223447870105,0.3004495722243841,0.23785747827998763,0.5099516921263892,0.07198163954285895,0.2992275937081509,0.13560345092033912,0.12901108017911095,0.3040896704212119,0.09298159109019823,0.44661644665077527,0.5184068756919982,0.36422519390681024,0.30888476393736575,0.24746706317044778,0.49894954586763385,1.3161642022806643,0.8980735478505487,1.0576134268489017,0.8734386068969497,0.9183382528715381,0.29367348719722064,0.21500027878345424,0.2503555929410504,0.17408301063648043,0.21582597253973654,0.49152751398385536,0.2751059044753155,0.34353839556833465,0.24381231829129016,0.26504791559664437,0.3683500213361339,0.32117540055691884,0.4898682404695678,0.2842043543133944,0.2711230439849283,0.33083638987921504,0.09109771313982912,0.38794849854178587,0.27444570081769887
